subject_id,extraversion,extraversion_1,extraversion_2,extraversion_3,extraversion_4,extraversion_5,agreeableness,agreeableness_1,agreeableness_2,agreeableness_3,agreeableness_4,agreeableness_5,conscientiousness,conscientiousness_1,conscientiousness_2,conscientiousness_3,conscientiousness_4,conscientiousness_5
20,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0
21,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,5.0,4.0
22,3.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0
23,3.0,4.0,4.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,2.0
24,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0
25,2.0,1.0,3.0,1.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0
26,3.0,3.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0,4.0,3.0
27,2.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0
28,3.0,4.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,2.0,5.0,5.0
29,2.0,2.0,1.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0
30,3.0,2.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0
31,2.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0
32,5.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0
33,3.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
34,2.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0
35,4.0,5.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0
36,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
37,3.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0
38,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0
39,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
40,3.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0
41,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0
42,3.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0
43,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,2.0,1.0
44,3.0,5.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0
45,1.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,1.0,5.0,5.0,1.0,3.0
46,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
47,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0
48,4.0,5.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0
49,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0
50,1.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0
51,3.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0
52,3.0,4.0,5.0,1.0,3.0,1.0,4.0,5.0,5.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0
53,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0
54,4.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
55,4.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
56,4.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0
57,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0
58,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0
59,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0
60,4.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0
61,2.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,1.0,2.0
62,3.0,3.0,1.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0
63,2.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
64,2.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0
65,4.0,5.0,4.0,5.0,4.0,2.0,3.0,1.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,4.0,2.0,3.0
66,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
67,3.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0
68,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0
69,3.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0
70,2.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0
71,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0
72,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
73,3.0,2.0,2.0,1.0,5.0,2.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0
74,5.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0
75,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0
76,4.0,5.0,5.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,5.0
77,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0
78,3.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0
79,3.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0
80,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,5.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
81,3.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0
82,3.0,2.0,5.0,1.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0
83,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0
84,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0
85,2.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0
86,2.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,1.0,3.0,1.0
87,4.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,3.0
88,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0
89,2.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0
90,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0
91,3.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0
92,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0
93,2.0,2.0,1.0,1.0,1.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,2.0
94,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0
95,3.0,4.0,4.0,4.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0
96,1.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0
97,3.0,2.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0
98,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0
99,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,5.0,3.0
100,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
101,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
102,2.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0
103,3.0,2.0,5.0,3.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0
104,2.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0
105,3.0,2.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
106,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0
107,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,5.0
108,3.0,1.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0,4.0,3.0
109,3.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0
110,3.0,1.0,3.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
111,1.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0
112,3.0,1.0,3.0,4.0,5.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0
113,3.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
114,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0
115,3.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0
116,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0
117,3.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0
118,2.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0
119,4.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0
120,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0
121,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0
122,2.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,1.0,5.0
123,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0
124,1.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,1.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0
125,4.0,3.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0
126,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
127,2.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0
128,2.0,3.0,3.0,4.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,4.0,3.0,4.0
129,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0
130,2.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0
131,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0
132,3.0,5.0,2.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0
133,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0
134,4.0,4.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0
135,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0
136,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
137,2.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0
138,3.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
139,4.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0
140,2.0,1.0,2.0,1.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0
141,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0
142,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0
143,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,4.0,5.0,5.0
144,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,3.0,2.0,1.0,5.0,1.0,3.0
145,3.0,3.0,1.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0
146,4.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,5.0,5.0,3.0
147,2.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0
148,1.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0
149,4.0,4.0,5.0,2.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
150,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
151,3.0,1.0,2.0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0,3.0,5.0
152,3.0,4.0,3.0,2.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
153,2.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
154,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,3.0,5.0,4.0,5.0
155,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0
156,2.0,2.0,2.0,3.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,3.0
157,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0
158,4.0,2.0,4.0,5.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0
159,2.0,1.0,3.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
160,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0
161,2.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0
162,4.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
163,4.0,2.0,4.0,3.0,5.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0
164,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
165,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0
166,3.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,1.0
167,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0
168,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0
169,3.0,2.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0
170,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0
171,2.0,3.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0
172,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0
173,3.0,3.0,1.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0
174,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0
175,3.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,5.0
176,4.0,4.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0
177,3.0,1.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0
178,5.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0
179,3.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,5.0
180,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0
181,4.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0
182,2.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
183,2.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0
184,4.0,2.0,4.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
185,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0
